Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.39794 0.9500000477 2.4618122009    0.949 -0.159  3.7501  4.527    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.86e-14      0.00 7.253e-01 2.602e-01 2.574e-03 7.032e-04 6.390e-03 -1.000 1.450e-02 5.169 6.316 5.988 5.258 4.818 4.468 4.009 3.643 3.594
0.0152 0.01508 9.39794 0.9652658701 2.4653426255    0.965 -0.123  3.7545  4.515    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.32e-14      0.00 7.262e-01 2.593e-01 2.566e-03 7.011e-04 6.371e-03 -1.000 1.447e-02 5.077 6.156 5.868 5.156 4.728 4.384 3.938 3.582 3.534
0.0152 0.01508 9.39794 0.9952110052 2.4719074212    0.995 -0.052  3.7629  4.492    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.33e-14      0.00 7.282e-01 2.574e-01 2.550e-03 6.967e-04 6.332e-03 -1.000 1.440e-02 4.900 5.852 5.638 4.960 4.554 4.223 3.800 3.462 3.419
0.0152 0.01508 9.39794 1.0000000000 2.4729154477    1.000 -0.041  3.7642  4.488    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.51e-14      0.00 7.285e-01 2.571e-01 2.547e-03 6.960e-04 6.326e-03 -1.000 1.439e-02 4.872 5.806 5.602 4.930 4.527 4.198 3.778 3.443 3.401
0.0152 0.01508 9.39794 1.0212506056 2.4772575933    1.021  0.009  3.7696  4.469    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.16e-14      0.00 7.305e-01 2.552e-01 2.531e-03 6.916e-04 6.286e-03 -1.000 1.432e-02 4.748 5.606 5.444 4.795 4.406 4.086 3.680 3.357 3.317
0.0152 0.01508 9.39794 1.0499999523 2.4828114860    1.049  0.075  3.7766  4.442    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.13e-14      0.00 7.334e-01 2.524e-01 2.507e-03 6.852e-04 6.229e-03 -1.000 1.416e-02 4.582 5.348 5.234 4.617 4.246 3.937 3.550 3.242 3.205
0.0152 0.01508 9.39794 1.0768030882 2.4876833915    1.076  0.136  3.7826  4.416    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.12e-14      0.00 7.374e-01 2.486e-01 2.474e-03 6.765e-04 6.150e-03 -1.000 1.401e-02 4.429 5.124 5.046 4.455 4.098 3.799 3.427 3.132 3.098
0.0152 0.01508 9.39794 1.1000000238 2.4916801480    1.099  0.189  3.7875  4.392    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-13      0.00 7.412e-01 2.449e-01 2.443e-03 6.680e-04 6.075e-03 -1.000 1.384e-02 4.298 4.941 4.888 4.318 3.973 3.682 3.321 3.035 3.004
0.0152 0.01508 9.39794 1.1231219769 2.4954756312    1.122  0.240  3.7921  4.368    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-13      0.00 7.446e-01 2.417e-01 2.419e-03 6.616e-04 6.018e-03 -1.000 1.369e-02 4.169 4.768 4.734 4.184 3.849 3.565 3.216 2.939 2.909
0.0152 0.01508 9.39794 1.1460057497 2.4990591250    1.145  0.291  3.7963  4.343    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-13      0.00 7.477e-01 2.387e-01 2.397e-03 6.560e-04 5.968e-03 -1.000 1.357e-02 4.043 4.603 4.585 4.053 3.728 3.451 3.112 2.844 2.815
0.0152 0.01508 9.39794 1.1499999762 2.4996678137    1.149  0.300  3.7970  4.339    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-13      0.00 7.482e-01 2.382e-01 2.394e-03 6.551e-04 5.960e-03 -1.000 1.356e-02 4.021 4.574 4.559 4.031 3.708 3.431 3.093 2.827 2.799
0.0152 0.01508 9.39794 1.1766180992 2.5036031363    1.176  0.357  3.8015  4.309    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-13      0.00 7.479e-01 2.384e-01 2.405e-03 6.583e-04 5.991e-03 -1.000 1.364e-02 3.877 4.392 4.392 3.883 3.570 3.301 2.973 2.716 2.690
0.0152 0.01508 9.39794 1.2000000477 2.5068948796    1.199  0.406  3.8050  4.283    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-13      0.00 7.474e-01 2.389e-01 2.418e-03 6.619e-04 6.025e-03 -1.000 1.375e-02 3.755 4.244 4.252 3.758 3.452 3.189 2.870 2.619 2.594
0.0152 0.01508 9.39794 1.2500000000 2.5134610955    1.249  0.502  3.8100  4.225    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-13      0.00 7.476e-01 2.387e-01 2.418e-03 6.623e-04 6.029e-03 -1.000 1.371e-02 3.515 3.968 3.985 3.513 3.219 2.965 2.657 2.417 2.394
0.0152 0.01508 9.39794 1.2686351538 2.5157566187    1.268  0.535  3.8112  4.202    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-13      0.00 7.477e-01 2.385e-01 2.418e-03 6.618e-04 6.031e-03 -1.000 1.372e-02 3.432 3.878 3.895 3.428 3.137 2.884 2.579 2.342 2.318
0.0152 0.01508 9.39794 1.2999999523 2.5194498592    1.300  0.590  3.8124  4.163    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-13      0.00 7.479e-01 2.384e-01 2.418e-03 6.611e-04 6.036e-03 -1.000 1.373e-02 3.295 3.735 3.751 3.290 3.002 2.752 2.449 2.214 2.191
0.0152 0.01508 9.39794 1.3017553091 2.5196505149    1.301  0.593  3.8124  4.161    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-13      0.00 7.479e-01 2.384e-01 2.418e-03 6.611e-04 6.037e-03 -1.000 1.373e-02 3.287 3.727 3.743 3.282 2.994 2.744 2.442 2.207 2.184
0.0152 0.01508 9.39794 1.3352087736 2.5233589319    1.335  0.651  3.8124  4.115    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-13      0.00 7.468e-01 2.394e-01 2.428e-03 6.615e-04 6.067e-03 -1.000 1.379e-02 3.144 3.586 3.597 3.138 2.850 2.601 2.298 2.064 2.041
0.0152 0.01508 9.39794 1.3500001431 2.5249313723    1.350  0.676  3.8121  4.093    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-13      0.00 7.464e-01 2.398e-01 2.432e-03 6.616e-04 6.080e-03 -1.000 1.384e-02 3.081 3.526 3.535 3.075 2.787 2.537 2.234 2.000 1.976
0.0152 0.01508 9.39794 1.3624256849 2.5262220044    1.362  0.697  3.8119  4.075    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.37e-13      0.00 7.462e-01 2.399e-01 2.433e-03 6.615e-04 6.081e-03 -1.000 1.384e-02 3.027 3.475 3.481 3.021 2.733 2.482 2.179 1.944 1.920
0.0152 0.01508 9.39794 1.3973103762 2.5297047844    1.397  0.757  3.8103  4.019    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-13      0.00 7.458e-01 2.403e-01 2.436e-03 6.619e-04 6.084e-03 -1.000 1.383e-02 2.877 3.336 3.336 2.870 2.580 2.327 2.020 1.783 1.759
0.0152 0.01508 9.39794 1.4000000954 2.5299650415    1.400  0.762  3.8101  4.015    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.59e-13      0.00 7.458e-01 2.404e-01 2.436e-03 6.619e-04 6.084e-03 -1.000 1.383e-02 2.866 3.326 3.325 2.859 2.568 2.315 2.008 1.771 1.746
0.0152 0.01508 9.39794 1.4138405323 2.5312862549    1.414  0.786  3.8093  3.992    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.65e-13      0.00 7.456e-01 2.406e-01 2.437e-03 6.631e-04 6.082e-03 -1.000 1.384e-02 2.806 3.273 3.268 2.799 2.507 2.253 1.943 1.705 1.680
0.0152 0.01508 9.39794 1.4500000477 2.5346015836    1.450  0.847  3.8060  3.928    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.85e-13      0.00 7.448e-01 2.414e-01 2.440e-03 6.661e-04 6.077e-03 -1.000 1.383e-02 2.652 3.146 3.127 2.646 2.347 2.089 1.772 1.528 1.501
0.0152 0.01508 9.39794 1.4591479301 2.5354104250    1.459  0.862  3.8045  3.910    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.88e-13      0.00 7.447e-01 2.415e-01 2.441e-03 6.663e-04 6.077e-03 -1.000 1.383e-02 2.616 3.122 3.098 2.611 2.309 2.048 1.727 1.481 1.454
0.0152 0.01508 9.39794 1.4778337479 2.5370268673    1.478  0.890  3.8007  3.872    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-13      0.00 7.443e-01 2.419e-01 2.443e-03 6.671e-04 6.081e-03 -1.000 1.382e-02 2.544 3.081 3.045 2.542 2.233 1.966 1.636 1.382 1.353
0.0152 0.01508 9.39794 1.4965190887 2.5385969362    1.496  0.918  3.7964  3.832    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -3e-13      0.00 7.438e-01 2.423e-01 2.446e-03 6.681e-04 6.086e-03 -1.000 1.384e-02 2.475 3.049 2.997 2.477 2.158 1.885 1.544 1.282 1.251
0.0152 0.01508 9.39794 1.5000000000 2.5388844597    1.500  0.923  3.7955  3.825    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.01e-13      0.00 7.438e-01 2.424e-01 2.446e-03 6.683e-04 6.087e-03 -1.000 1.384e-02 2.462 3.044 2.989 2.465 2.145 1.869 1.527 1.263 1.232
0.0152 0.01508 9.39794 1.5136780739 2.5399995555    1.513  0.942  3.7913  3.793    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -3e-13      0.00 7.436e-01 2.426e-01 2.448e-03 6.689e-04 6.093e-03 -1.000 1.388e-02 2.415 3.034 2.964 2.423 2.093 1.811 1.458 1.186 1.154
0.0152 0.01508 9.39794 1.5293313265 2.5412475719    1.529  0.968  3.7870  3.754    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-13      0.00 7.431e-01 2.430e-01 2.452e-03 6.699e-04 6.104e-03 -1.000 1.389e-02 2.349 3.008 2.920 2.361 2.022 1.734 1.370 1.089 1.055
0.0152 0.01508 9.39794 1.5341724157 2.5416276220    1.534  0.978  3.7860  3.741    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-13      0.00 7.430e-01 2.431e-01 2.452e-03 6.702e-04 6.107e-03 -1.000 1.389e-02 2.324 2.992 2.901 2.337 1.996 1.706 1.340 1.057 1.023
0.0152 0.01508 9.39794 1.5405435562 2.5421236049    1.540  1.029  3.7923  3.717    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.38e-13      0.00 7.429e-01 2.432e-01 2.453e-03 6.705e-04 6.110e-03 -1.000 1.391e-02 2.197 2.809 2.737 2.201 1.875 1.595 1.245 0.976 0.943
0.0152 0.01508 9.39794 1.5419000387 2.5422285965    1.541  1.061  3.7976  3.707    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.66e-13      0.00 7.429e-01 2.432e-01 2.454e-03 6.706e-04 6.111e-03 -1.000 1.392e-02 2.117 2.686 2.627 2.115 1.800 1.529 1.192 0.934 0.903
0.0152 0.01508 9.39794 1.5423887968 2.5422663742    1.542  1.095  3.8030  3.696    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.99e-13      0.00 7.429e-01 2.432e-01 2.454e-03 6.706e-04 6.111e-03 -1.000 1.392e-02 2.033 2.561 2.514 2.025 1.723 1.462 1.137 0.891 0.862
0.0152 0.01508 9.39794 1.5426121950 2.5422836322    1.542  1.127  3.8081  3.683    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-13      0.00 7.428e-01 2.432e-01 2.454e-03 6.706e-04 6.112e-03 -1.000 1.392e-02 1.952 2.444 2.404 1.938 1.647 1.394 1.082 0.846 0.818
0.0152 0.01508 9.39794 1.5427144766 2.5422915318    1.542  1.145  3.8108  3.676    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-13      0.00 7.428e-01 2.432e-01 2.454e-03 6.706e-04 6.112e-03 -1.000 1.392e-02 1.908 2.382 2.346 1.891 1.606 1.358 1.052 0.822 0.795
0.0152 0.01508 9.39794 1.5427814722 2.5422967055    1.542  1.117  3.8075  3.691    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.25e-13      0.00 7.428e-01 2.432e-01 2.454e-03 6.707e-04 6.112e-03 -1.000 1.392e-02 1.977 2.473 2.433 1.964 1.672 1.418 1.104 0.867 0.839
0.0152 0.01508 9.39794 1.5428528786 2.5423022192    1.542  1.096  3.8027  3.693    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.04e-13      0.00 7.428e-01 2.432e-01 2.454e-03 6.707e-04 6.112e-03 -1.000 1.392e-02 2.030 2.561 2.512 2.022 1.719 1.458 1.132 0.885 0.856
0.0152 0.01508 9.39794 1.5430294275 2.5423158490    1.543  1.092  3.7927  3.657    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.15e-13      0.00 7.428e-01 2.433e-01 2.454e-03 6.707e-04 6.112e-03 -1.000 1.392e-02 2.039 2.651 2.575 2.042 1.717 1.439 1.089 0.822 0.789
0.0152 0.01508 9.39794 1.5433326960 2.5423392535    1.543  1.095  3.7824  3.613    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.37e-13      0.00 7.420e-01 2.440e-01 2.460e-03 6.723e-04 6.126e-03 -1.000 1.395e-02 2.033 2.739 2.627 2.050 1.702 1.406 1.032 0.742 0.706
0.0152 0.01508 9.39794 1.5438348055 2.5423779800    1.543  1.086  3.7720  3.581    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.44e-13      0.00 7.374e-01 2.485e-01 2.495e-03 6.816e-04 6.209e-03 -1.000 1.414e-02 2.056 2.871 2.713 2.090 1.719 1.405 1.002 0.689 0.649
0.0152 0.01508 9.39794 1.5444266796 2.5424235927    1.544  1.067  3.7628  3.563    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.34e-13      0.00 7.304e-01 2.552e-01 2.548e-03 6.958e-04 6.336e-03 -1.000 1.442e-02 2.103 3.023 2.819 2.156 1.764 1.434 1.007 0.672 0.628
0.0152 0.01508 9.39794 1.5450165272 2.5424690092    1.545  1.042  3.7546  3.555    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.12e-13      0.00 7.249e-01 2.605e-01 2.591e-03 7.072e-04 6.438e-03 -1.000 1.464e-02 2.165 3.184 2.933 2.237 1.825 1.483 1.032 0.678 0.631
0.0152 0.01508 9.39794 1.5456043482 2.5425142301    1.545  1.013  3.7466  3.553    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.86e-13      0.00 7.209e-01 2.643e-01 2.621e-03 7.153e-04 6.511e-03 -1.000 1.483e-02 2.238 3.364 3.060 2.331 1.900 1.544 1.071 0.696 0.646
0.0152 0.01508 9.39794 1.5461902618 2.5425592649    1.546  0.981  3.7383  3.551    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-13      0.00 7.182e-01 2.669e-01 2.642e-03 7.208e-04 6.559e-03 -1.000 1.492e-02 2.316 3.560 3.194 2.433 1.982 1.612 1.114 0.717 0.664
0.0152 0.01508 9.39794 1.5467742682 2.5426041140    1.546  0.956  3.7300  3.543    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -3.4e-13      0.00 7.161e-01 2.689e-01 2.656e-03 7.246e-04 6.594e-03 -1.000 1.499e-02 2.379 3.739 3.315 2.522 2.052 1.668 1.144 0.726 0.670
0.0152 0.01508 9.39794 1.5474724770 2.5426576823    1.547  0.949  3.7209  3.514    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.43e-13      0.00 7.139e-01 2.710e-01 2.666e-03 7.286e-04 6.624e-03 -1.000 1.505e-02 2.397 3.894 3.399 2.571 2.079 1.681 1.128 0.685 0.626
